time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,waist_d,shoulder_d,elbow_d,forearm_roll_d,wrist_angle_d,wrist_rotate_d,gripper
0,0,0,-5.55111512312578e-17,0,0,0,0,0,0,0,0,0,0.026
0.01,0,0,-5.55111512312578e-17,0,0,0,0,0,0,0,0,0,0.026
0.02,0,0,-5.55111512312578e-17,0,0,0,0,0,8.58823282550387e-09,0,3.32702161240494e-09,0,0.026
0.03,0,0,8.58823567817524e-11,0,3.32702161240494e-11,0,0,4.40456735228422e-18,2.3121868695219e-08,0,8.9572509774786e-09,0,0.026
0.04,0,0,3.17100956603866e-10,0,1.22842725898835e-10,0,0,3.42908811286188e-17,4.87533528896701e-08,0,1.88867095314231e-08,0,0.026
0.05,0,0,8.04634525675141e-10,0,3.11709821213066e-10,0,0,1.58222179473121e-16,8.86527185329496e-08,0,3.4343446044567e-08,0,0.026
0.06,0,0,1.69116182169304e-09,0,6.55144281658736e-10,0,0,5.47625003938203e-16,1.45989478231692e-07,0,5.65553076502187e-08,0,0.026
0.07,0,0,3.15105669335125e-09,0,1.22069735816092e-09,0,0,-2.06479160641949e-14,2.23932444609276e-07,0,8.67498703275802e-08,0,0.026
0.08,0,-2.22044604925031e-16,5.39038119695689e-09,0,2.08819606143672e-09,0,0,-1.83194871361409e-14,3.25649560615676e-07,0,1.26154373174772e-07,0,0.026
0.09,0,-3.88578058618805e-16,8.64687671464637e-09,0,3.34973979318444e-09,0,0,-8.01388058874618e-14,4.54307976300932e-07,0,1.75995748163827e-07,0,0.026
0.1,0,-1.16573417585641e-15,1.31899564048688e-08,0,5.10969727482271e-09,0,0,-1.15341979728113e-13,6.13073614790552e-07,0,2.37500452020343e-07,0,0.026
0.11,0,-2.33146835171283e-15,1.93206925458433e-08,0,7.48470179502614e-09,0,0,-2.54266712752345e-13,8.05111361372654e-07,0,3.11894539497149e-07,0,0.026
0.12,0,-4.88498130835069e-15,2.73718060994632e-08,0,1.06036471899976e-08,0,0,-4.25935210580574e-13,1.03358466280904e-06,0,4.0040350817827e-07,0,0.026
