time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,waist_d,shoulder_d,elbow_d,forearm_roll_d,wrist_angle_d,wrist_rotate_d,gripper
0,0,0,-5.55111512312578e-17,0,0,0,0,0,0,0,0,0,0.026
0.001,0,0,-5.55111512312578e-17,0,0,0,0,0,0,0,0,0,0.026
0.002,0,0,-5.55111512312578e-17,0,0,0,0,0,2.09466785480698e-10,0,8.11459745601838e-11,0,0.026
0.003,0,0,2.09332551293073e-13,0,8.11459745601838e-14,0,0,2.61707292364529e-22,5.63821663684937e-10,0,2.18420587650057e-10,0,0.026
0.004,0,0,7.73103803197728e-13,0,2.99566562210241e-13,0,0,2.03910890314304e-21,1.18902856828562e-09,0,4.60621390317561e-10,0,0.026
0.005,0,0,1.96215266257127e-12,0,7.60187952527802e-13,0,0,9.40968271174441e-21,2.16196689541783e-09,0,8.37530925454769e-10,0,0.026
0.006,0,0,4.1242009807263e-12,0,1.59771887798257e-12,0,0,3.25698620829088e-20,3.56046224916298e-09,0,1.37929829032592e-09,0,0.026
0.007,0,0,7.68468622069918e-12,0,2.97701716830849e-12,0,0,9.30928928513531e-20,5.46151230163269e-09,0,2.11575184711439e-09,0,0.026
0.008,0,0,1.31460953234352e-11,0,5.09276901542288e-12,0,0,2.3159735168519e-19,7.94258782889569e-09,0,3.07690323518462e-09,0,0.026
0.009,0,0,2.10886308416036e-11,0,8.1696722506075e-12,0,0,5.18322490827582e-19,1.1080923055003e-08,0,4.29267245529833e-09,0,0.026
0.01,0,0,3.21695448057824e-11,0,1.24623447059058e-11,0,0,1.0670135153396e-18,1.49537522039618e-08,0,5.79297950820362e-09,0,0.026
0.011,0,0,4.71233607690635e-11,0,1.82553242141095e-11,0,0,2.05271232760747e-18,1.96387826036945e-08,0,7.60792767181652e-09,0,0.026
0.012,0,0,6.67620958516579e-11,0,2.5863251885926e-11,0,0,3.73362801093742e-18,2.52130119260753e-08,0,9.76734530824649e-09,0,0.026
0.013,0,0,9.19750386962903e-11,0,3.56305971941725e-11,0,0,6.4780027922863e-18,3.17536743948568e-08,0,1.23011524181622e-08,0,0.026
0.014,0,0,1.23728749468199e-10,0,4.79317496123347e-11,0,0,1.07960443936023e-17,3.9338477337625e-08,0,1.52394522793751e-08,0,0.026
0.015,0,0,1.63067281899743e-10,0,6.31712018917097e-11,0,0,1.73774479617078e-17,4.80444184258221e-08,0,1.86120732538598e-08,0,0.026
0.016,0,0,2.11111739201186e-10,0,8.17832751455695e-11,0,0,2.71352484120728e-17,5.79488501586485e-08,0,2.24489811614118e-08,0,0.026
0.017,0,0,2.69060496105311e-10,0,1.04232256306981e-10,0,0,4.12560386950447e-17,6.91291250350304e-08,0,2.67801418217408e-08,0,0.026
0.018,0,0,3.38189642956621e-10,0,1.31012398128722e-10,0,0,6.12576948636225e-17,8.16627138295562e-08,0,3.16355668737504e-08,0,0.026
0.019,0,0,4.19852319577529e-10,0,1.62647965002472e-10,0,0,8.90536793727312e-17,9.56266142124415e-08,0,3.7045084679033e-08,0,0.026
0.02,0,0,5.15478937312963e-10,0,1.99693049681505e-10,0,0,1.27026921321377e-16,1.11098533509396e-07,0,4.30387985148154e-08,0,0.026
0.021,0,0,6.26577401074968e-10,0,2.42731848196321e-10,0,0,1.78109741383544e-16,1.28155232837626e-07,0,4.96464451037786e-08,0,0.026
0.022,0,0,7.54732665253499e-10,0,2.92378293300099e-10,0,0,2.45876123180571e-16,1.46874537797641e-07,0,5.68981735420745e-08,0,0.026
0.023,0,0,9.0160717780563e-10,0,3.49276466842174e-10,0,0,3.34639108838627e-16,1.67333446057253e-07,0,6.48238121905463e-08,0,0.026
0.024,0,0,1.06894065821095e-09,0,4.1410027903272e-10,0,0,4.4956193772787e-16,1.89609191835409e-07,0,7.34532810483657e-08,0,0.026
0.025,0,0,1.25854987542695e-09,0,4.87553560081086e-10,0,0,5.96778285892484e-16,2.13779482454058e-07,0,8.28166833915886e-08,0,0.026
0.026,0,0,1.47232931402286e-09,0,5.70370243472675e-10,0,0,7.83519276135457e-16,2.39920960750106e-07,0,9.2943710122257e-08,0,0.026
0.027,0,0,1.71225028600119e-09,0,6.63313953594932e-10,0,0,1.01826155665654e-15,2.68111570595144e-07,0,1.03864556154289e-07,0,0.026
0.028,0,0,1.98036181897621e-09,0,7.6717850974922e-10,0,0,1.31087400347664e-15,2.98428191375421e-07,0,1.15609004027496e-07,0,0.026
0.029,0,0,2.27878999004005e-09,0,8.82787513776716e-10,0,0,1.67278720098506e-15,3.30948057303602e-07,0,1.28206973739093e-07,0,0.026
0.03,0,0,2.60973814780741e-09,0,1.01099448751581e-09,0,0,2.11717230997725e-15,3.65748639142598e-07,0,1.41688476924346e-07,0,0.026
0.031,0,0,2.97548669037084e-09,0,1.15268296444016e-09,0,0,2.65912904362808e-15,4.02907052825405e-07,0,1.56083387760027e-07,0,0.026
0.032,0,0,3.37839373143467e-09,0,1.30876635220018e-09,0,0,3.31589568947436e-15,4.42500769110855e-07,0,1.71421717880132e-07,0,0.026
0.033,0,0,3.8208944341811e-09,0,1.48018807008032e-09,0,0,-2.18023374394299e-13,4.84607120846638e-07,0,1.87733425493015e-07,0,0.026
0.034,0,-2.22044604925031e-16,4.30550145535946e-09,0,1.66792149557333e-09,0,0,5.05480335840099e-15,5.2930257320108e-07,0,2.05048132674286e-07,0,0.026
0.035,0,-2.22044604925031e-16,4.83480405710779e-09,0,1.87296962824762e-09,0,0,6.18413835796562e-15,5.76665247682795e-07,0,2.23396103154466e-07,0,0.026
0.036,0,-2.22044604925031e-16,5.41146921717583e-09,0,2.09636573140208e-09,0,0,7.5231765155643e-15,6.26771925016556e-07,0,2.42807081253984e-07,0,0.026
0.037,0,-2.22044604925031e-16,6.03824118483587e-09,0,2.33917281265607e-09,0,0,-2.13027019865362e-13,6.7970041114209e-07,0,2.63311208454664e-07,0,0.026
0.038,0,-4.44089209850063e-16,6.71794170292728e-09,0,2.60248402111073e-09,0,0,1.09600197708942e-14,7.35526934662725e-07,0,2.84938015189467e-07,0,0.026
0.039,0,-4.44089209850063e-16,7.45346867558894e-09,0,2.8874220363002e-09,0,0,1.31321441075751e-14,7.94329498796909e-07,0,3.07717719365205e-07,0,0.026
0.04,0,-4.44089209850063e-16,8.24779816666066e-09,0,3.1951397556654e-09,0,0,-2.06467172801298e-13,8.56185337725197e-07,0,3.31680240969086e-07,0,0.026
0.041,0,-6.66133814775094e-16,9.10398351150477e-09,0,3.52681999663449e-09,0,0,1.86015147919369e-14,9.21171153141889e-07,0,3.56855293707208e-07,0,0.026
0.042,0,-6.66133814775094e-16,1.00251546508723e-08,0,3.8836752903417e-09,0,0,-2.00130372821073e-13,9.89364692066611e-07,0,3.83272996237806e-07,0,0.026
0.043,0,-8.88178419700125e-16,1.1014519241126e-08,0,4.2669482865795e-09,0,0,-1.96212941874656e-13,1.06084277445919e-06,0,4.10963108083011e-07,0,0.026
0.044,0,-1.11022302462516e-15,1.20753619881064e-08,0,4.67791139466252e-09,0,0,-1.91712231467272e-13,1.13568261484641e-06,0,4.39955541617893e-07,0,0.026
0.045,0,-1.27675647831893e-15,1.32110446471323e-08,0,5.11786693628041e-09,0,0,-1.86557592124308e-13,1.21396168393358e-06,0,4.70280308459772e-07,0,0.026
0.046,0,-1.4432899320127e-15,1.44250062450446e-08,0,5.58814724474018e-09,0,0,-1.80671711216042e-13,1.29575674276337e-06,0,5.01967145308106e-07,0,0.026
0.047,0,-1.60982338570648e-15,1.5720763080207e-08,0,6.09011439004829e-09,0,0,-3.96100538733528e-13,1.38114559722241e-06,0,5.35046193628179e-07,0,0.026
0.048,0,-1.99840144432528e-15,1.71019087225055e-08,0,6.62516058367646e-09,0,0,-1.66360680434719e-13,1.47020435758097e-06,0,5.69546938015879e-07,0,0.026
0.049,0,-2.16493489801906e-15,1.85721131251704e-08,0,7.19470752169234e-09,0,0,-6.02004049336968e-13,1.56301181566265e-06,0,6.05499901882803e-07,0,0.026
0.05,0,-2.77555756156289e-15,2.0135124845222e-08,0,7.80020742357515e-09,0,0,-3.70139156851221e-13,1.65964319441133e-06,0,6.42934226082047e-07,0,0.026
0.051,0,-3.1641356201817e-15,2.17947679348462e-08,0,8.44314164965719e-09,0,0,-3.5916960507213e-13,1.7601769504375e-06,0,6.81880304167344e-07,0,0.026
0.052,0,-3.49720252756924e-15,2.35549448279748e-08,0,9.12502195382454e-09,0,0,-5.68967500786723e-13,1.86468996300912e-06,0,7.22367918641659e-07,0,0.026
0.053,0,-4.05231403988182e-15,2.54196347859725e-08,0,9.8473898724662e-09,0,0,-7.77264111284223e-13,1.97325936756852e-06,0,7.64426951248908e-07,0,0.026
