time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,gripper
0,0,0,-5.55111512312578e-17,0,0,0,0.026
0.01,0,0,-5.55111512312578e-17,0,0,0,0.026
0.02,0,0,-5.55111512312578e-17,0,0,0,0.026
0.03,0,0,2.14705753176503e-10,0,8.31754944908268e-11,0,0.026
0.04,0,0,7.92752696820997e-10,0,3.07106814695521e-10,0,0.026
0.05,0,0,2.01158661949918e-09,0,7.79274575489276e-10,0,0.026
0.06,0,-2.22044604925031e-16,4.22790485954394e-09,0,1.63786083169366e-09,0,0.026
0.07,0,-3.88578058618805e-16,7.87764181664485e-09,0,3.05174355475134e-09,0,0.026
0.08,0,-4.9960036108132e-16,1.34759522985028e-08,0,5.22049009983828e-09,0,0.026
0.09,0,-1.16573417585641e-15,2.16171915368157e-08,0,8.37434953258184e-09,0,0.026
0.1,0,-2.38697950294409e-15,3.29748903182825e-08,0,1.27742430353264e-08,0,0.026
0.11,0,-5.05151476204446e-15,4.83017303376521e-08,0,1.87117542251781e-08,0,0.026
0.12,0,-9.54791801177635e-15,6.84295126673895e-08,0,2.65091171214826e-08,0,0.026
0.13,0,-1.80411241501588e-14,9.42691273375651e-08,0,3.65192042669279e-08,0,0.026
0.14,0,-3.25850457727483e-14,1.26810515366227e-07,0,4.91255119527212e-08,0,0.026
0.15,0,-5.58997292898766e-14,1.67122630789773e-07,0,6.47421457468104e-08,0,0.026
0.16,0,-9.32032229172819e-14,2.1635340002879e-07,0,8.38138044749496e-08,0,0.026
0.17,0,-1.50435219836709e-13,2.7572967503664e-07,0,1.06815762232071e-07,0,0.026
0.18,0,-2.36866082303777e-13,3.46557186670093e-07,0,1.34253850515221e-07,0,0.026
0.19,0,-3.63598040564739e-13,4.30220492730893e-07,0,1.66664437756101e-07,0,0.026
0.2,0,-5.46007683510652e-13,5.28182924675047e-07,0,2.04614409031465e-07,0,0.026
0.21,0,-8.03856980979845e-13,6.41986530769412e-07,0,2.48701143985407e-07,0,0.026
0.22,0,-1.16273657368993e-12,7.73252016139647e-07,0,2.99552493442383e-07,0,0.026
0.23,0,-1.65484292935503e-12,9.2367867970955e-07,0,3.57826755410382e-07,0,0.026
0.24,0,-2.32019958801288e-12,1.0950443482538e-06,0,4.24212649165468e-07,0,0.026
0.25,0,-3.2087110746204e-12,1.2892053077862e-06,0,4.99429289163448e-07,0,0.026
0.26,0,-4.38205027819549e-12,1.5080962331715e-06,0,5.84226157499816e-07,0,0.026
0.27,0,-5.91454663023683e-12,1.75373011129798e-06,0,6.79383074479143e-07,0,0.026
0.28,0,-7.89673881840258e-12,2.0281981660264e-06,0,7.85710169406169e-07,0,0.026
0.29,0,-1.04373731879548e-11,2.33366977692162e-06,0,9.04047849501798e-07,0,0.026
0.3,0,-1.36662348104721e-11,2.67239239665207e-06,0,1.03526676775765e-06,0,0.026
0.31,0,-1.77372005971677e-11,3.04669146550252e-06,0,1.18026779009148e-06,0,0.026
0.32,0,-2.28316809902651e-11,3.45897032166809e-06,0,1.33998196080673e-06,0,0.026
0.33,0,-2.91628388104925e-11,3.91171011221436e-06,0,1.51537046809298e-06,0,0.026
0.34,0,-3.6979141970761e-11,4.40746969715411e-06,0,1.70742460718013e-06,0,0.026
0.35,0,-4.65699701024391e-11,4.94888555419015e-06,0,1.91716574366214e-06,0,0.026
