time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,gripper
0.000,0,0,-5.55111512312578e-17,0,0,0,0.026
0.001,0,0,-5.55111512312578e-17,0,0,0,0.026
0.002,0,0,-5.55111512312578e-17,0,0,0,0.026
0.003,0,0,1.71807013060743e-13,0,6.65754381908227e-14,0,0.026
0.004,0,0,6.34325925119583e-13,0,2.45728888518446e-13,0,0.026
0.005,0,0,1.6093237853454e-12,0,6.2346317099919e-13,0,0.026
0.006,0,0,3.3825720002767e-12,0,1.3103860680081e-12,0,0.026
0.007,0,0,6.30268059964578e-12,0,2.44157286638738e-12,0,0.026
0.008,0,0,1.07817643701935e-11,0,4.17674963463105e-12,0,0.026
0.009,0,0,1.72956649002742e-11,0,6.70020158428741e-12,0,0.026
0.01,0,0,2.63835064906459e-11,0,1.02207272506561e-11,0,0.026
0.011,0,0,3.86474741098652e-11,0,1.49717301313724e-11,0,0.026
0.012,0,0,5.47537015727073e-11,0,2.12111728670978e-11,0,0.026
0.013,0,0,7.54316054063509e-11,0,2.9221623060799e-11,0,0.026
0.014,0,0,1.01473662805773e-10,0,3.93101616391313e-11,0,0.026
0.015,0,0,1.33736077767566e-10,0,5.18084286717061e-11,0,0.026
0.016,0,0,1.73138559045327e-10,0,6.7072715009646e-11,0,0.026
0.017,0,0,2.20664098105061e-10,0,8.54837790083512e-11,0,0.026
0.018,0,0,2.77358969125174e-10,0,1.07446983985332e-10,0,0.026
0.019,0,0,3.44333173085687e-10,0,1.33392298220141e-10,0,0.026
0.02,0,0,4.22759549589813e-10,0,1.63774111677099e-10,0,0.026
0.021,0,0,5.13874887086985e-10,0,1.99071556740279e-10,0,0.026
0.022,0,0,6.18979256739038e-10,0,2.39788233297605e-10,0,0.026
0.023,0,0,7.39435790375609e-10,0,2.86452254560018e-10,0,0.026
0.024,0,0,8.76671568672549e-10,0,3.39616430338506e-10,0,0.026
0.025,0,0,1.03217651092891e-09,0,3.99857992128146e-10,0,0.026
0.026,0,0,1.20750448528995e-09,0,4.67778822204382e-10,0,0.026
0.027,0,0,1.40427242056873e-09,0,5.44005316164906e-10,0,0.026
0.028,0,0,1.62416030624613e-09,0,6.29188382929396e-10,0,0.026
0.029,0,0,1.86891230269381e-09,0,7.24003628016411e-10,0,0.026
0.03,0,0,2.14033540890668e-09,0,8.29151078627282e-10,0,0.026
0.031,0,0,2.44030035068121e-09,0,9.45355366922933e-10,0,0.026
0.032,0,0,2.7707406924371e-09,0,1.07336563838488e-09,0,0.026
0.033,0,0,3.13365372539565e-09,0,1.21395559763409e-09,0,0.026
0.034,0,0,3.53110024553516e-09,0,1.36792360006907e-09,0,0.026
0.035,0,-2.22044604925031e-16,3.96520433154635e-09,0,1.53609250680182e-09,0,0.026
0.036,0,-2.22044604925031e-16,4.43815290074312e-09,0,1.7193094859832e-09,0,0.026
0.037,0,-2.22044604925031e-16,4.9521968192856e-09,0,1.91844656281947e-09,0,0.026
0.038,0,-2.22044604925031e-16,5.50965045809093e-09,0,2.13440023762038e-09,0,0.026
0.039,0,-2.22044604925031e-16,6.11289102669943e-09,0,2.36809143237344e-09,0,0.026
0.04,0,-4.44089209850063e-16,6.76435946145304e-09,0,2.62046580387258e-09,0,0.026
0.041,0,-4.44089209850063e-16,7.4665597593615e-09,0,2.89249327012744e-09,0,0.026
0.042,0,-4.44089209850063e-16,8.22205942219156e-09,0,3.18516856037954e-09,0,0.026
0.043,0,-4.44089209850063e-16,9.03348923442238e-09,0,3.49951078733072e-09,0,0.026
0.044,0,-6.66133814775094e-16,9.9035434852901e-09,0,3.83656370684657e-09,0,0.026
0.045,0,-8.88178419700125e-16,1.08349795246987e-08,0,4.19739551167555e-09,0,0.026
0.046,0,-8.88178419700125e-16,1.18306177632199e-08,0,4.58309886205574e-09,0,0.026
0.047,0,-8.32667268468867e-16,1.28933427823164e-08,0,4.99479109959873e-09,0,0.026
0.048,0,-1.22124532708767e-15,1.40261022241184e-08,0,5.43361420907441e-09,0,0.026
0.049,0,-1.16573417585641e-15,1.52319061252904e-08,0,5.90073423017847e-09,0,0.026
0.05,0,-1.55431223447522e-15,1.65138293595213e-08,0,6.39734234235392e-09,0,0.026
0.051,0,-1.72084568816899e-15,1.78750083068557e-08,0,6.92465360429444e-09,0,0.026
0.052,0,-1.88737914186277e-15,1.93186441843629e-08,0,7.48390810740182e-09,0,0.026
0.053,0,-2.27595720048157e-15,2.08480012697798e-08,0,8.07637036473615e-09,0,0.026
0.054,0,-2.66453525910038e-15,2.24664060133328e-08,0,8.70332914294767e-09,0,0.026
0.055,0,-2.99760216648792e-15,2.41772492581838e-08,0,9.36609794346991e-09,0,0.026
0.056,0,-3.33066907387547e-15,2.59839849081622e-08,0,1.00660147810264e-08,0,0.026
0.057,0,-3.88578058618805e-15,2.78901299277656e-08,0,1.0804442130203e-08,0,0.026
0.058,0,-4.44089209850063e-15,2.98992645642038e-08,0,1.15827669482624e-08,0,0.026
0.059,0,-5.16253706450698e-15,3.20150327914881e-08,0,1.24024008279955e-08,0,0.026
0.06,0,-5.6621374255883e-15,3.42411407561194e-08,0,1.32647795317344e-08,0,0.026
0.061,0,-6.60582699651968e-15,3.65813592195785e-08,0,1.41713638927096e-08,0,0.026
0.062,0,-7.27196081129478e-15,3.90395206717464e-08,0,1.51236385699487e-08,0,0.026
0.063,0,-8.38218383591993e-15,4.16195226615734e-08,0,1.61231133774037e-08,0,0.026
0.064,0,-9.49240686054509e-15,4.43253242443653e-08,0,1.71713221304877e-08,0,0.026
0.065,0,-1.0769163338864e-14,4.71609488683633e-08,0,1.82698233641549e-08,0,0.026
0.066,0,-1.22124532708767e-14,5.01304825983873e-08,0,1.9420200042583e-08,0,0.026
0.067,0,-1.36557432028894e-14,5.32380745599248e-08,0,2.06240595591696e-08,0,0.026
0.068,0,-1.54876111935209e-14,5.64879378273098e-08,0,2.18830340268398e-08,0,0.026
0.069,0,-1.72639680329212e-14,5.98843480914546e-08,0,2.31987797356303e-08,0,0.026
0.07,0,-1.94844140821715e-14,6.34316445480287e-08,0,2.45729776874904e-08,0,0.026
0.071,0,-2.18713935851156e-14,6.71342290092802e-08,0,2.60073331913227e-08,0,0.026
0.072,0,-2.44249065417534e-14,7.09965670142587e-08,0,2.75035761074718e-08,0,0.026
0.073,0,-2.71449529520851e-14,7.50231871626816e-08,0,2.90634608095045e-08,0,0.026
0.074,0,-3.01980662698043e-14,7.92186813369788e-08,0,3.0688766130779e-08,0,0.026
0.075,0,-3.36397576461422e-14,8.3587704480248e-08,0,3.23812953338311e-08,0,0.026
0.076,0,-3.7470027081099e-14,8.81349745962545e-08,0,3.41428761485812e-08,0,0.026
0.077,0,-4.14113188185183e-14,9.28652725273871e-08,0,3.59753606882948e-08,0,0.026
0.078,0,-4.59632332194815e-14,9.77834428428359e-08,0,3.7880625694069e-08,0,0.026
0.079,0,-5.08482145278322e-14,1.02894392950414e-07,0,3.98605722597238e-08,0,0.026
0.08,0,-5.62883073484954e-14,1.08203093540649e-07,0,4.19171259770437e-08,0,0.026
0.081,0,-6.20614670765463e-14,1.13714577920643e-07,0,4.40522367370963e-08,0,0.026
0.082,0,-6.86117829218347e-14,1.19433943124303e-07,0,4.62678791503886e-08,0,0.026
0.083,0,-7.54951656745106e-14,1.25366348802114e-07,0,4.85660519586283e-08,0,0.026
0.084,0,-8.3100193393193e-14,1.31517018331362e-07,0,5.094877861534e-08,0,0.026
0.085,0,-9.12603326241879e-14,1.37891237261822e-07,0,5.34181068350834e-08,0,0.026
0.086,0,-1.00142116821189e-13,1.44494355092117e-07,0,5.59761088303315e-08,0,0.026
0.087,0,-1.09967590589122e-13,1.51331783715403e-07,0,5.86248812808533e-08,0,0.026
0.088,0,-1.20459198171829e-13,1.58408998529591e-07,0,6.13665452572757e-08,0,0.026
0.089,0,-1.31894495325469e-13,1.65731537771219e-07,0,6.42032461906514e-08,0,0.026
0.09,0,-1.44217970898808e-13,1.73305002737489e-07,0,6.71371539869031e-08,0,0.026
0.091,0,-1.57429624891847e-13,1.8113505756423e-07,0,7.01704629733878e-08,0,0.026
0.092,0,-1.71973546514437e-13,1.8922743011407e-07,0,7.33053920211316e-08,0,0.026
0.093,0,-1.87350135405495e-13,1.97587910200081e-07,0,7.65441840406202e-08,0,0.026
0.094,0,-2.04003480774873e-13,2.0622235136214e-07,0,7.98891067456892e-08,0,0.026
0.095,0,-2.22155627227494e-13,2.15136670200788e-07,0,8.33424521417075e-08,0,0.026
0.096,0,-2.41529019007203e-13,2.24336845711104e-07,0,8.69065364415315e-08,0,0.026
0.097,0,-2.62345700718924e-13,2.3382892039292e-07,0,9.05837004932619e-08,0,0.026
