time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,gripper
0,0,0,-5.55111512312578e-17,0,0,0,0.026
0.01,0,0,-5.55111512312578e-17,0,0,0,0.026
0.02,0,0,-5.55111512312578e-17,0,0,0,0.026
0.03,0,0,7.28961946361295e-10,0,2.8239477272536e-10,0,0.026
0.04,0,0,2.69145855602559e-09,0,1.04265227795568e-09,0,0.026
0.05,0,0,6.82926132311579e-09,0,2.64560824802999e-09,0,0.026
0.06,0,1.11022302462516e-16,1.43529643170659e-08,0,5.56023842195456e-09,0,0.026
0.07,0,4.9960036108132e-16,2.67417927246605e-08,0,1.03595843408396e-08,0,0.026
0.08,0,1.60982338570648e-15,4.57433694811549e-08,0,1.77206629951008e-08,0,0.026
0.09,0,4.44089209850063e-15,7.3373438824742e-08,0,2.84243597644808e-08,0,0.026
0.1,0,1.07136521876328e-14,1.11915548106634e-07,0,4.33553050524187e-08,0,0.026
0.11,0,2.36477504245158e-14,1.63920685414265e-07,0,6.3501734235656e-08,0,0.026
0.12,0,4.84612350248881e-14,2.3220687767056e-07,0,8.99553316937361e-08,0,0.026
0.13,0,9.35918009759007e-14,3.19858743436097e-07,0,1.23911057756959e-07,0,0.026
0.14,0,1.71918035363205e-13,4.30227004855066e-07,0,1.6666695992973e-07,0,0.026
0.15,0,3.02369240756661e-13,5.66927956968666e-07,0,2.19623967087072e-07,0,0.026
0.16,0,5.12256903562047e-13,7.33842894395931e-07,0,2.8428566786047e-07,0,0.026
0.17,0,8.39883718128931e-13,9.35117495381999e-07,0,3.62258072090838e-07,0,0.026
0.18,0,1.33776323352208e-12,1.17516116432403e-06,0,4.55249356332467e-07,0,0.026
0.19,0,2.07667216756136e-12,1.45864633166459e-06,0,5.65069592969831e-07,0,0.026
0.2,0,3.15036885467634e-12,1.79050771070832e-06,0,6.9363046264506e-07,0,0.026
0.21,0,4.68114436102951e-12,2.17594151291634e-06,0,8.42944950883632e-07,0,0.026
0.22,0,6.82631728921024e-12,2.6204046210121e-06,0,1.01512702806323e-06,0,0.026
0.23,0,9.78600533940721e-12,3.12961371967679e-06,0,1.21239131319797e-06,0,0.026
0.24,0,1.38117850490005e-11,3.70954438361215e-06,0,1.437052721459e-06,0,0.026
0.25,0,1.92167393109344e-11,4.36643012430293e-06,0,1.69152609558005e-06,0,0.026
0.26,0,2.63870036931735e-11,5.10676139348076e-06,0,1.97832582074537e-06,0,0.026
0.27,0,3.57946450257884e-11,5.93728454595377e-06,0,2.30006542374757e-06,0,0.026
0.28,0,4.80122608337297e-11,6.8650007589155e-06,0,2.65945715536853e-06,0,0.026
0.29,0,6.37294106375919e-11,7.89716491017556e-06,0,3.05931155722643e-06,0,0.026
0.3,0,8.37708236112178e-11,9.04128441397978e-06,0,3.50253701203992e-06,0,0.026
0.31,0,1.09116715663049e-10,1.030511801553e-05,0,3.99213927813733e-06,0,0.026
0.32,0,1.40925215941223e-10,1.16966745424274e-05,0,4.53122100761794e-06,0,0.026
0.33,0,1.80557124807024e-10,1.32242116152592e-05,0,5.1229812486703e-06,0,0.026
0.34,0,2.29603280832436e-10,1.48962343162196e-05,0,5.77071493181889e-06,0,0.026
0.35,0,2.89914203754904e-10,1.67214938159854e-05,0,6.47781234032719e-06,0,0.026
0.36,0,3.63632901567712e-10,1.87089859584044e-05,0,7.24775856434315e-06,0,0.026
