time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate
0,0,0,0,0,0,0
0.001,0,0,0,0,3.46343298075613e-10,0
0.002,0,0,0,0,2.77074310291968e-09,0
0.003,0,0,0,0,9.35123951377183e-09,0
0.004,0,0,0,0,2.21658398143264e-08,0
0.005,0,0,0,0,4.32925020660782e-08,0
0.006,0,0,0,0,7.48091187004974e-08,0
0.007,0,0,0,0,1.1879350011354e-07,0
0.008,0,0,0,0,1.77323358258204e-07,0
0.009,0,0,0,0,2.52476290240157e-07,0
0.01,0,0,0,0,3.46329761912763e-07,0
0.011,0,0,0,0,4.60961091473676e-07,0
0.012,0,0,0,0,5.98447433061412e-07,0
0.013,0,0,0,0,7.60865760354512e-07,0
0.014,0,0,0,0,9.50292850169613e-07,0
0.015,0,0,0,0,1.16880526606448e-06,0
0.016,0,0,0,0,1.41847934193725e-06,0
0.017,0,0,0,0,1.70139116563492e-06,0
0.018,0,0,0,0,2.01961656255225e-06,0
0.019,0,0,0,0,2.37523107924367e-06,0
0.02,0,0,0,0,2.77030996703316e-06,0
0.021,0,0,0,0,3.20692816561884e-06,0
0.022,0,0,0,0,3.68716028669276e-06,0
0.023,0,0,0,0,4.21308059755263e-06,0
0.024,0,0,0,0,4.78676300472168e-06,0
0.025,0,0,0,0,5.41028103756421e-06,0
0.026,0,0,0,0,6.08570783191266e-06,0
0.027,0,0,0,0,6.81511611368927e-06,0
0.028,0,0,0,0,7.60057818253628e-06,0
0.029,0,0,0,0,8.4441658954426e-06,0
0.03,0,0,0,0,9.3479506503841e-06,0
0.031,0,0,0,0,1.03140033699518e-05,0
0.032,0,0,0,0,1.13443944849969e-05,0
0.033,0,0,0,0,1.24411939182739e-05,0
0.034,0,0,0,0,1.36064710680836e-05,0
0.035,0,0,0,0,1.48422947919256e-05,0
0.036,0,0,0,0,1.61507333901481e-05,0
0.037,0,0,0,0,1.75338545896113e-05,0
0.038,0,0,0,0,1.89937255273429e-05,0
0.039,0,0,0,0,2.05324127342017e-05,0
0.04,0,0,0,0,2.21519821185518e-05,0
0.041,0,0,0,0,2.38544989499327e-05,0
0.042,0,0,0,0,2.56420278427357e-05,0
0.043,0,0,0,0,2.75166327398867e-05,0
0.044,0,0,0,0,2.94803768965286e-05,0
0.045,0,0,0,0,3.15353228637219e-05,0
0.046,0,0,0,0,3.36835324721231e-05,0
0.047,0,0,0,0,3.59270668157036e-05,0
0.048,0,0,0,0,3.82679862354395e-05,0
0.049,0,0,0,0,4.07083503030266e-05,0
0.05,0,0,0,0,4.32502178045987e-05,0
0.051,0,0,0,0,4.58956467244457e-05,0
0.052,0,0,0,0,4.86466942287356e-05,0
0.053,0,0,0,0,5.15054166492473e-05,0
0.054,0,0,0,0,5.44738694671131e-05,0
0.055,0,0,0,0,5.75541072965485e-05,0
0.056,0,0,0,0,6.07481838686126e-05,0
0.057,0,0,0,0,6.40581520149549e-05,0
0.058,0,0,0,0,6.74860636515715e-05,0
0.059,0,0,0,0,7.10339697625796e-05,0
0.06,0,0,0,0,7.4703920383989e-05,0
0.061,0,0,0,0,7.84979645874689e-05,0
0.062,0,0,0,0,8.24181504641435e-05,0
0.063,0,0,0,0,8.64665251083829e-05,0
0.064,0,0,0,0,9.06451346015912e-05,0
0.065,0,0,0,0,9.49560239960223e-05,0
0.066,0,0,0,0,9.94012372985844e-05,0
0.067,0,0,0,0,0.00010398281745466,0
0.068,0,0,0,0,0.000108702806331928,0
0.069,0,0,0,0,0.000113563244704209,0
0.07,0,0,0,0,0.000118566172235284,0
0.071,0,0,0,0,0.000123713627462759,0
0.072,0,0,0,0,0.000129007647781908,0
0.073,0,0,0,0,0.000134450269429545,0
0.074,0,0,0,0,0.000140043527467886,0
0.075,0,0,0,0,0.000145789455768428,0
0.076,0,0,0,0,0.000151690086995838,0
0.077,0,0,0,0,0.000157747452591842,0
0.078,0,0,0,0,0.000163963582759132,0
0.079,0,0,0,0,0.000170340506445269,0
0.08,0,0,0,0,0.000176880251326602,0
0.081,0,0,0,0,0.000183584843792205,0
0.082,0,0,0,0,0.000190456308927795,0
0.083,0,0,0,0,0.000197496670499692,0
0.084,0,0,0,0,0.000204707950938758,0
0.085,0,0,0,0,0.000212092171324367,0
0.086,0,0,0,0,0.000219651351368376,0
0.087,0,0,0,0,0.000227387509399091,0
0.088,0,0,0,0,0.000235302662345279,0
0.089,0,0,0,0,0.00024339882572014,0
0.09,0,0,0,0,0.000251678013605337,0
0.091,0,0,0,0,0.000260142238634993,0
0.092,0,0,0,0,0.00026879351197973,0
0.093,0,0,0,0,0.000277633843330708,0
0.094,0,0,0,0,0.000286665240883649,0
0.095,0,0,0,0,0.000295889711322924,0
0.096,0,0,0,0,0.000305309259805598,0
0.097,0,0,0,0,0.000314925889945508,0
0.098,0,0,0,0,0.000324741603797345,0
0.099,0,0,0,0,0.00033475840184078,0
0.1,0,0,0,0,0.000344978282964521,0
0.101,0,0,0,0,0.000355403244450482,0
0.102,0,0,0,0,0.000366035281957865,0
0.103,0,0,0,0,0.000376876389507338,0
0.104,0,0,0,0,0.000387928559465163,0
0.105,0,0,0,0,0.000399193782527355,0
0.106,0,0,0,0,0.000410674047703869,0
0.107,0,0,0,0,0.000422371342302773,0
0.108,0,0,0,0,0.000434287651914438,0
0.109,0,0,0,0,0.000446424960395757,0
0.11,0,0,0,0,0.000458785249854347,0
0.111,0,0,0,0,0.000471370500632787,0
0.112,0,0,0,0,0.00048418269129287,0
0.113,0,0,0,0,0.000497223798599827,0
0.114,0,0,0,0,0.000510495797506609,0
0.115,0,0,0,0,0.000524000661138172,0
0.116,0,0,0,0,0.00053774036077574,0
0.117,0,0,0,0,0.000551716865841129,0
0.118,0,0,0,0,0.000565932143881053,0
0.119,0,0,0,0,0.000580388160551436,0
0.12,0,0,0,0,0.000595086879601781,0
0.121,0,0,0,0,0.000610030262859488,0
0.122,0,0,0,0,0.000625220270214234,0
0.123,0,0,0,0,0.000640658859602343,0
0.124,0,0,0,0,0.00065634798699118,0
0.125,0,0,0,0,0.000672289606363552,0
0.126,0,0,0,0,0.000688485669702138,0
0.127,0,0,0,0,0.000704938126973871,0
0.128,0,0,0,0,0.00072164892611444,0
0.129,0,0,0,0,0.000738620013012709,0
0.13,0,0,0,0,0.000755853331495192,0
0.131,0,0,0,0,0.00077335082331054,0
0.132,0,0,0,0,0.000791114428114035,0
0.133,0,0,0,0,0.000809146083452114,0
0.134,0,0,0,0,0.000827447724746865,0
0.135,0,0,0,0,0.000846021285280586,0
0.136,0,0,0,0,0.000864868696180344,0
0.137,0,0,0,0,0.000883991886402529,0
0.138,0,0,0,0,0.00090339278271743,0
0.139,0,0,0,0,0.000923073309693842,0
0.14,0,0,0,0,0.000943035389683693,0
0.141,0,0,0,0,0.000963280942806622,0
0.142,0,0,0,0,0.000983811886934667,0
0.143,0,0,0,0,0.0010046301376769,0
0.144,0,0,0,0,0.0010257376083641,0
0.145,0,0,0,0,0.00104713621003343,0
0.146,0,0,0,0,0.00106882785141315,0
0.147,0,0,0,0,0.00109081443890732,0
0.148,0,0,0,0,0.00111309787658054,0
0.149,0,0,0,0,0.00113568006614271,0
0.15,0,0,0,0,0.00115856290693377,0
0.151,0,0,0,0,0.00118174829590847,0
0.152,0,0,0,0,0.00120523812762121,0
0.153,0,0,0,0,0.00122903429421078,0
0.154,0,0,0,0,0.00125313868538528,0
0.155,0,0,0,0,0.00127755318840685,0
0.156,0,0,0,0,0.00130227968807662,0
0.157,0,0,0,0,0.00132732006671956,0
0.158,0,0,0,0,0.00135267620416934,0
0.159,0,0,0,0,0.00137834997775326,0
0.16,0,0,0,0,0.00140434326227718,0
0.161,0,0,0,0,0.00143065793001047,0
0.162,0,0,0,0,0.00145729585067093,0
0.163,0,0,0,0,0.0014842588914098,0
0.164,0,0,0,0,0.00151154891679674,0
0.165,0,0,0,0,0.00153916778880483,0
0.166,0,0,0,0,0.00156711736679561,0
0.167,0,0,0,0,0.00159539950750414,0
0.168,0,0,0,0,0.001624016065024,0
0.169,0,0,0,0,0.00165296889079243,0
0.17,0,0,0,0,0.00168225983357541,0
0.171,0,0,0,0,0.00171189073945276,0
0.172,0,0,0,0,0.00174186345180328,0
0.173,0,0,0,0,0.0017721798112899,0
0.174,0,0,0,0,0.00180284165584484,0
0.175,0,0,0,0,0.00183385082065483,0
0.176,0,0,0,0,0.00186520913814626,0
0.177,0,0,0,0,0.00189691843797045,0
0.178,0,0,0,0,0.00192898054698884,0
0.179,0,0,0,0,0.00196139728925833,0
0.18,0,0,0,0,0.00199417048601645,0
0.181,0,0,0,0,0.00202730195566676,0
0.182,0,0,0,0,0.0020607935137641,0
0.183,0,0,0,0,0.00209464697299997,0
0.184,0,0,0,0,0.00212886414318781,0
0.185,0,0,0,0,0.00216344683124848,0
0.186,0,0,0,0,0.00219839684119554,0
0.187,0,0,0,0,0.00223371597412074,0
0.188,0,0,0,0,0.00226940602817943,0
0.189,0,0,0,0,0.002305468798576,0
0.19,0,0,0,0,0.00234190607754935,0
0.191,0,0,0,0,0.00237871965435838,0
0.192,0,0,0,0,0.00241591131526752,0
0.193,0,0,0,0,0.00245348284353222,0
0.194,0,0,0,0,0.00249143601938453,0
0.195,0,0,0,0,0.00252977262001868,0
0.196,0,0,0,0,0.00256849441957661,0
0.197,0,0,0,0,0.00260760318913365,0
0.198,0,0,0,0,0.00264710069668411,0
0.199,0,0,0,0,0.00268698870712693,0
0.2,0,0,0,0,0.00272726898225138,0
0.201,0,0,0,0,0.00276794328072269,0
0.202,0,0,0,0,0.00280901335806788,0
0.203,0,0,0,0,0.00285048096666134,0
0.204,0,0,0,0,0.0028923478557107,0
0.205,0,0,0,0,0.00293461577124256,0
0.206,0,0,0,0,0.00297728645608829,0
0.207,0,0,0,0,0.00302036164986986,0
0.208,0,0,0,0,0.00306384308898565,0
0.209,0,0,0,0,0.00310773250659636,0
0.21,0,0,0,0,0.00315203163261082,0
0.211,0,0,0,0,0.00319674219367197,0
0.212,0,0,0,0,0.00324186591314274,0
0.213,0,0,0,0,0.00328740451109201,0
0.214,0,0,0,0,0.00333335970428056,0
0.215,0,0,0,0,0.00337973320614709,0
0.216,0,0,0,0,0.00342652672679423,0
0.217,0,0,0,0,0.00347374197297453,0
0.218,0,0,0,0,0.00352138064807658,0
0.219,0,0,0,0,0.00356944445211106,0
0.22,0,0,0,0,0.00361793508169684,0
0.221,0,0,0,0,0.00366685423004709,0
0.222,0,0,0,0,0.00371620358695547,0
0.223,0,0,0,0,0.00376598483878228,0
0.224,0,0,0,0,0.00381619966844061,0
0.225,0,0,0,0,0.00386684975538262,0
0.226,0,0,0,0,0.00391793677558576,0
0.227,0,0,0,0,0.00396946240153901,0
0.228,0,0,0,0,0.00402142830222918,0
0.229,0,0,0,0,0.00407383614312723,0
0.23,0,0,0,0,0.00412668758617457,0
0.231,0,0,0,0,0.00417998428976944,0
0.232,0,0,0,0,0.00423372790875329,0
0.233,0,0,0,0,0.00428792009439719,0
0.234,0,0,0,0,0.0043425624943882,0
0.235,0,0,0,0,0.00439765675281588,0
0.236,0,0,0,0,0.00445320451015878,0
0.237,0,0,0,0,0.00450920740327084,0
0.238,0,0,0,0,0.00456566706536802,0
0.239,0,0,0,0,0.00462258512601477,0
0.24,0,0,0,0,0.00467996321111066,0
0.241,0,0,0,0,0.00473780294287693,0
0.242,0,0,0,0,0.00479610593984313,0
0.243,0,0,0,0,0.00485487381683374,0
0.244,0,0,0,0,0.00491410818495488,0
0.245,0,0,0,0,0.00497381065158096,0
0.246,0,0,0,0,0.00503398282034145,0
0.247,0,0,0,0,0.00509462629110755,0
0.248,0,0,0,0,0.00515574265997901,0
0.249,0,0,0,0,0.00521733351927094,0
0.25,0,0,0,0,0.00527940045750055,0
0.251,0,0,0,0,0.00534194505937407,0
0.252,0,0,0,0,0.00540496890577359,0
0.253,0,0,0,0,0.00546847357374396,0
0.254,0,0,0,0,0.00553246063647968,0
0.255,0,0,0,0,0.00559693166331189,0
0.256,0,0,0,0,0.00566188821969531,0
0.257,0,0,0,0,0.00572733186719526,0
0.258,0,0,0,0,0.00579326416347466,0
0.259,0,0,0,0,0.00585968666228107,0
0.26,0,0,0,0,0.0059266009134338,0
0.261,0,0,0,0,0.00599400846281101,0
0.262,0,0,0,0,0.00606191085233679,0
0.263,0,0,0,0,0.00613030961996834,0
0.264,0,0,0,0,0.00619920629968317,0
0.265,0,0,0,0,0.00626860242146628,0
0.266,0,0,0,0,0.00633849951129741,0
0.267,0,0,0,0,0.00640889909113826,0
0.268,0,0,0,0,0.00647980267891986,0
0.269,0,0,0,0,0.00655121178852976,0
0.27,0,0,0,0,0.00662312792979948,0
0.271,0,0,0,0,0.00669555260849183,0
0.272,0,0,0,0,0.0067684873262883,0
0.273,0,0,0,0,0.00684193358077647,0
0.274,0,0,0,0,0.00691589286543755,0
0.275,0,0,0,0,0.00699036666963368,0
0.276,0,0,0,0,0.0070653564785956,0
0.277,0,0,0,0,0.00714086377341009,0
0.278,0,0,0,0,0.00721689003100758,0
0.279,0,0,0,0,0.00729343672414968,0
0.28,0,0,0,0,0.00737050532141682,0
0.281,0,0,0,0,0.00744809728719592,0
0.282,0,0,0,0,0.007526214081668,0
0.283,0,0,0,0,0.00760485716079591,0
0.284,0,0,0,0,0.00768402797631211,0
0.285,0,0,0,0,0.00776372797570628,0
0.286,0,0,0,0,0.00784395860221325,0
0.287,0,0,0,0,0.00792472129480071,0
0.288,0,0,0,0,0.00800601748815711,0
0.289,0,0,0,0,0.0080878486126795,0
0.29,0,0,0,0,0.00817021609446142,0
0.291,0,0,0,0,0.00825312135528082,0
0.292,0,0,0,0,0.00833656581258805,0
0.293,0,0,0,0,0.0084205508794938,0
0.294,0,0,0,0,0.00850507796475712,0
0.295,0,0,0,0,0.00859014847277347,0
0.296,0,0,0,0,0.00867576380356277,0
0.297,0,0,0,0,0.00876192535275755,0
0.298,0,0,0,0,0.00884863451159099,0
0.299,0,0,0,0,0.00893589266688514,0
0.3,0,0,0,0,0.00902370120103909,0
0.301,0,0,0,0,0.00911206149201719,0
0.302,0,0,0,0,0.00920097491333726,0
0.303,0,0,0,0,0.00929044283405891,0
0.304,0,0,0,0,0.00938046661877183,0
0.305,0,0,0,0,0.00947104762758407,0
0.306,0,0,0,0,0.00956218721611054,0
0.307,0,0,0,0,0.00965388673546121,0
0.308,0,0,0,0,0.00974614753222971,0
0.309,0,0,0,0,0.00983897094848167,0
0.31,0,0,0,0,0.00993235832174326,0
0.311,0,0,0,0,0.0100263109849897,0
0.312,0,0,0,0,0.0101208302666337,0
0.313,0,0,0,0,0.0102159174905142,0
0.314,0,0,0,0,0.010311573975885,0
0.315,0,0,0,0,0.0104078010374031,0
0.316,0,0,0,0,0.0105045999851176,0
0.317,0,0,0,0,0.0106019721244585,0
0.318,0,0,0,0,0.0106999187562251,0
0.319,0,0,0,0,0.010798441176575,0
0.32,0,0,0,0,0.0108975406770129,0
0.321,0,0,0,0,0.0109972185443793,0
0.322,0,0,0,0,0.0110974760608394,0
0.323,0,0,0,0,0.011198314503872,0
0.324,0,0,0,0,0.0112997351462582,0
0.325,0,0,0,0,0.011401739256071,0
0.326,0,0,0,0,0.0115043280966633,0
0.327,0,0,0,0,0.0116075029266577,0
0.328,0,0,0,0,0.0117112649999353,0
0.329,0,0,0,0,0.0118156155656246,0
0.33,0,0,0,0,0.0119205558680909,0
0.331,0,0,0,0,0.012026087146925,0
0.332,0,0,0,0,0.0121322106369328,0
0.333,0,0,0,0,0.0122389275681244,0
0.334,0,0,0,0,0.0123462391657033,0
0.335,0,0,0,0,0.0124541466500553,0
0.336,0,0,0,0,0.0125626512367384,0
0.337,0,0,0,0,0.0126717541364719,0
0.338,0,0,0,0,0.0127814565551255,0
0.339,0,0,0,0,0.0128917596937089,0
0.34,0,0,0,0,0.0130026647483614,0
0.341,0,0,0,0,0.0131141729103411,0
0.342,0,0,0,0,0.0132262853660143,0
0.343,0,0,0,0,0.0133390032968454,0
0.344,0,0,0,0,0.0134523278793862,0
0.345,0,0,0,0,0.0135662602852653,0
0.346,0,0,0,0,0.0136808016811782,0
0.347,0,0,0,0,0.0137959532288766,0
0.348,0,0,0,0,0.0139117160851581,0
0.349,0,0,0,0,0.0140280914018561,0
0.35,0,0,0,0,0.0141450803258294,0
0.351,0,0,0,0,0.0142626839989521,0
0.352,0,0,0,0,0.0143809035581031,0
0.353,0,0,0,0,0.0144997401351565,0
0.354,0,0,0,0,0.0146191948569711,0
0.355,0,0,0,0,0.0147392688453802,0
0.356,0,0,0,0,0.0148599632171819,0
0.357,0,0,0,0,0.0149812790841291,0
0.358,0,0,0,0,0.015103217552919,0
0.359,0,0,0,0,0.0152257797251838,0
0.36,0,0,0,0,0.0153489666974802,0
0.361,0,0,0,0,0.0154727795612801,0
0.362,0,0,0,0,0.0155972194029603,0
0.363,0,0,0,0,0.0157222873037929,0
0.364,0,0,0,0,0.0158479843399354,0
0.365,0,0,0,0,0.0159743115824211,0
0.366,0,0,0,0,0.0161012700971493,0
0.367,0,0,0,0,0.0162288609448755,0
0.368,0,0,0,0,0.0163570851812022,0
0.369,0,0,0,0,0.0164859438565686,0
0.37,0,0,0,0,0.0166154380162419,0
0.371,0,0,0,0,0.0167455687003067,0
0.372,0,0,0,0,0.0168763369436565,0
0.373,0,0,0,0,0.0170077437759837,0
0.374,0,0,0,0,0.0171397902217703,0
0.375,0,0,0,0,0.0172724773002782,0
0.376,0,0,0,0,0.0174058060255406,0
0.377,0,0,0,0,0.0175397774063516,0
0.378,0,0,0,0,0.017674392446258,0
0.379,0,0,0,0,0.0178096521435493,0
0.38,0,0,0,0,0.0179455574912485,0
0.381,0,0,0,0,0.0180821094771035,0
0.382,0,0,0,0,0.0182193090835771,0
0.383,0,0,0,0,0.0183571572878389,0
0.384,0,0,0,0,0.0184956550617551,0
0.385,0,0,0,0,0.0186348033718802,0
0.386,0,0,0,0,0.018774603179448,0
0.387,0,0,0,0,0.018915055440362,0
0.388,0,0,0,0,0.0190561611051873,0
0.389,0,0,0,0,0.0191979211191409,0
0.39,0,0,0,0,0.0193403364220834,0
0.391,0,0,0,0,0.0194834079485098,0
0.392,0,0,0,0,0.0196271366275411,0
0.393,0,0,0,0,0.019771523382915,0
0.394,0,0,0,0,0.0199165691329776,0
0.395,0,0,0,0,0.0200622747906747,0
0.396,0,0,0,0,0.0202086412635428,0
0.397,0,0,0,0,0.0203556694537008,0
0.398,0,0,0,0,0.0205033602578413,0
0.399,0,0,0,0,0.0206517145672221,0
0.4,0,0,0,0,0.0208007332676577,0
0.401,0,0,0,0,0.0209504172395107,0
0.402,0,0,0,0,0.0211007673576835,0
0.403,0,0,0,0,0.0212517844916098,0
0.404,0,0,0,0,0.0214034695052462,0
0.405,0,0,0,0,0.0215558232570643,0
0.406,0,0,0,0,0.0217088466000416,0
0.407,0,0,0,0,0.0218625403816541,0
0.408,0,0,0,0,0.0220169054438675,0
0.409,0,0,0,0,0.0221719426231292,0
0.41,0,0,0,0,0.0223276527503603,0
0.411,0,0,0,0,0.0224840366509471,0
0.412,0,0,0,0,0.0226410951447337,0
0.413,0,0,0,0,0.0227988290460131,0
0.414,0,0,0,0,0.02295723916352,0
0.415,0,0,0,0,0.0231163263004223,0
0.416,0,0,0,0,0.0232760912543136,0
0.417,0,0,0,0,0.0234365348172048,0
0.418,0,0,0,0,0.0235976577755168,0
0.419,0,0,0,0,0.0237594609100724,0
0.42,0,0,0,0,0.0239219449960883,0
0.421,0,0,0,0,0.0240851108031681,0
0.422,0,0,0,0,0.0242489590952937,0
0.423,0,0,0,0,0.0244134906308183,0
0.424,0,0,0,0,0.0245787061624586,0
0.425,0,0,0,0,0.0247446064372869,0
0.426,0,0,0,0,0.0249111921967242,0
0.427,0,0,0,0,0.0250784641765319,0
0.428,0,0,0,0,0.0252464231068052,0
0.429,0,0,0,0,0.0254150697119647,0
0.43,0,0,0,0,0.02558440471075,0
0.431,0,0,0,0,0.0257544288162115,0
0.432,0,0,0,0,0.0259251427357036,0
0.433,0,0,0,0,0.0260965471708772,0
0.434,0,0,0,0,0.0262686428176727,0
0.435,0,0,0,0,0.0264414303663122,0
0.436,0,0,0,0,0.0266149105012932,0
0.437,0,0,0,0,0.0267890839013807,0
0.438,0,0,0,0,0.0269639512396006,0
0.439,0,0,0,0,0.0271395131832324,0
0.44,0,0,0,0,0.0273157703938023,0
0.441,0,0,0,0,0.027492723527076,0
0.442,0,0,0,0,0.0276703732330523,0
0.443,0,0,0,0,0.0278487201559555,0
0.444,0,0,0,0,0.0280277649342292,0
0.445,0,0,0,0,0.028207508200529,0
0.446,0,0,0,0,0.0283879505817159,0
0.447,0,0,0,0,0.0285690926988495,0
0.448,0,0,0,0,0.0287509351671815,0
0.449,0,0,0,0,0.0289334785961488,0
0.45,0,0,0,0,0.029116723589367,0
0.451,0,0,0,0,0.0293006707446238,0
0.452,0,0,0,0,0.0294853206538721,0
0.453,0,0,0,0,0.0296706739032244,0
0.454,0,0,0,0,0.0298567310729452,0
0.455,0,0,0,0,0.0300434927374453,0
0.456,0,0,0,0,0.0302309594652755,0
0.457,0,0,0,0,0.0304191318191196,0
0.458,0,0,0,0,0.0306080103557885,0
0.459,0,0,0,0,0.030797595626214,0
0.46,0,0,0,0,0.0309878881754425,0
0.461,0,0,0,0,0.0311788885426287,0
0.462,0,0,0,0,0.0313705972610294,0
0.463,0,0,0,0,0.0315630148579976,0
0.464,0,0,0,0,0.0317561418549762,0
0.465,0,0,0,0,0.0319499787674923,0
0.466,0,0,0,0,0.0321445261051508,0
0.467,0,0,0,0,0.0323397843716285,0
0.468,0,0,0,0,0.0325357540646686,0
0.469,0,0,0,0,0.0327324356760742,0
0.47,0,0,0,0,0.0329298296917032,0
0.471,0,0,0,0,0.0331279365914617,0
0.472,0,0,0,0,0.0333267568492988,0
0.473,0,0,0,0,0.0335262909332008,0
0.474,0,0,0,0,0.0337265393051851,0
0.475,0,0,0,0,0.0339275024212952,0
0.476,0,0,0,0,0.0341291807315948,0
0.477,0,0,0,0,0.0343315746801622,0
0.478,0,0,0,0,0.0345346847050846,0
0.479,0,0,0,0,0.0347385112384532,0
0.48,0,0,0,0,0.0349430547063571,0
0.481,0,0,0,0,0.0351483155288784,0
0.482,0,0,0,0,0.0353542941200865,0
0.483,0,0,0,0,0.0355609908880332,0
0.484,0,0,0,0,0.0357684062347468,0
0.485,0,0,0,0,0.0359765405562275,0
0.486,0,0,0,0,0.0361853942424419,0
0.487,0,0,0,0,0.0363949676773176,0
0.488,0,0,0,0,0.0366052612387387,0
0.489,0,0,0,0,0.0368162752985402,0
0.49,0,0,0,0,0.0370280102225033,0
0.491,0,0,0,0,0.03724046637035,0
0.492,0,0,0,0,0.0374536440957386,0
0.493,0,0,0,0,0.0376675437462586,0
0.494,0,0,0,0,0.0378821656634257,0
0.495,0,0,0,0,0.0380975101826771,0
0.496,0,0,0,0,0.038313577633367,0
0.497,0,0,0,0,0.038530368338761,0
0.498,0,0,0,0,0.0387478826160325,0
0.499,0,0,0,0,0.0389661207762572,0
0.5,0,0,0,0,0.0391850831244087,0
0.501,0,0,0,0,0.0394047699593542,0
0.502,0,0,0,0,0.0396251815738495,0
0.503,0,0,0,0,0.0398463182545348,0
0.504,0,0,0,0,0.0400681802819302,0
0.505,0,0,0,0,0.0402907679304312,0
0.506,0,0,0,0,0.0405140814683044,0
0.507,0,0,0,0,0.0407381211576831,0
0.508,0,0,0,0,0.040962887254563,0
0.509,0,0,0,0,0.0411883800087981,0
0.51,0,0,0,0,0.041414599664096,0
0.511,0,0,0,0,0.0416415464580145,0
0.512,0,0,0,0,0.0418692206219569,0
0.513,0,0,0,0,0.0420976223811679,0
0.514,0,0,0,0,0.04232675195473,0
0.515,0,0,0,0,0.0425566095555589,0
0.516,0,0,0,0,0.0427871953904,0
0.517,0,0,0,0,0.0430185096598244,0
0.518,0,0,0,0,0.0432505525582246,0
0.519,0,0,0,0,0.0434833242738114,0
0.52,0,0,0,0,0.0437168249886093,0
0.521,0,0,0,0,0.0439510548784535,0
0.522,0,0,0,0,0.0441860141129853,0
0.523,0,0,0,0,0.0444217028556496,0
0.524,0,0,0,0,0.0446581212636899,0
0.525,0,0,0,0,0.0448952694881459,0
0.526,0,0,0,0,0.0451331476738492,0
0.527,0,0,0,0,0.0453717559594202,0
0.528,0,0,0,0,0.0456110944772644,0
0.529,0,0,0,0,0.045851163353569,0
0.53,0,0,0,0,0.0460919627082996,0
0.531,0,0,0,0,0.046333492655197,0
0.532,0,0,0,0,0.0465757533017733,0
0.533,0,0,0,0,0.0468187447493096,0
0.534,0,0,0,0,0.0470624670928518,0
0.535,0,0,0,0,0.0473069204212082,0
0.536,0,0,0,0,0.0475521048169459,0
0.537,0,0,0,0,0.0477980203563878,0
0.538,0,0,0,0,0.0480446671096096,0
0.539,0,0,0,0,0.0482920451404371,0
0.54,0,0,0,0,0.0485401545064425,0
0.541,0,0,0,0,0.0487889952589421,0
0.542,0,0,0,0,0.0490385674429934,0
0.543,0,0,0,0,0.0492888710973919,0
0.544,0,0,0,0,0.0495399062546685,0
0.545,0,0,0,0,0.0497916729410869,0
0.546,0,0,0,0,0.0500441711766405,0
0.547,0,0,0,0,0.0502974009750501,0
